2026-08-30T15:42:33.069270 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:43:54.457541 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:45:10.604505 | CASH: $96.30 | OPEN: $1.99 | EQUITY: $98.30 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $-0.01 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:46:22.807279 | CASH: $96.30 | OPEN: $2.37 | EQUITY: $98.67 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.36 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:47:31.877451 | CASH: $96.30 | OPEN: $2.25 | EQUITY: $98.55 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.24 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:48:47.158111 | CASH: $96.30 | OPEN: $2.10 | EQUITY: $98.40 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.09 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:50:16.049445 | CASH: $94.29 | OPEN: $4.14 | EQUITY: $98.43 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.12 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:51:43.630563 | CASH: $94.29 | OPEN: $7.09 | EQUITY: $101.38 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $3.07 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:53:38.982608 | CASH: $94.31 | OPEN: $6.53 | EQUITY: $100.83 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $2.51 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:55:39.741163 | CASH: $94.31 | OPEN: $6.40 | EQUITY: $100.71 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $2.38 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:57:02.668184 | CASH: $94.31 | OPEN: $7.75 | EQUITY: $102.06 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $3.73 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:58:16.589389 | CASH: $94.31 | OPEN: $9.22 | EQUITY: $103.53 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $5.20 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:59:34.328147 | CASH: $94.31 | OPEN: $9.54 | EQUITY: $103.85 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $5.53 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:01:28.655629 | CASH: $94.31 | OPEN: $9.55 | EQUITY: $103.86 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $5.53 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:03:02.407997 | CASH: $94.31 | OPEN: $9.66 | EQUITY: $103.97 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $5.64 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:04:47.743170 | CASH: $96.21 | OPEN: $6.81 | EQUITY: $103.03 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $4.81 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:06:27.619858 | CASH: $96.21 | OPEN: $6.10 | EQUITY: $102.31 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $4.09 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:08:00.891836 | CASH: $96.21 | OPEN: $7.45 | EQUITY: $103.66 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $5.44 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:09:32.368977 | CASH: $96.21 | OPEN: $7.00 | EQUITY: $103.22 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $4.99 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:11:00.799667 | CASH: $96.21 | OPEN: $6.30 | EQUITY: $102.52 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $4.29 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:12:36.074095 | CASH: $96.21 | OPEN: $6.01 | EQUITY: $102.22 | REALIZED_PNL: $-1.79 | UNREALIZED_PNL: $4.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:14:25.976823 | CASH: $102.02 | OPEN: $0.00 | EQUITY: $102.02 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:37:40.195926 | CASH: $102.00 | OPEN: $0.00 | EQUITY: $102.00 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:39:15.518086 | CASH: $102.00 | OPEN: $0.00 | EQUITY: $102.00 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:41:36.153289 | CASH: $102.00 | OPEN: $0.00 | EQUITY: $102.00 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:43:59.027291 | CASH: $99.99 | OPEN: $1.98 | EQUITY: $101.97 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $-0.03 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:46:06.116003 | CASH: $99.99 | OPEN: $3.50 | EQUITY: $103.50 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $1.50 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:47:52.977109 | CASH: $99.99 | OPEN: $4.00 | EQUITY: $103.99 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $1.99 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:49:44.695022 | CASH: $99.99 | OPEN: $3.86 | EQUITY: $103.86 | REALIZED_PNL: $2.00 | UNREALIZED_PNL: $1.86 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:51:40.637121 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:53:24.647440 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:55:14.471444 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T16:57:59.659052 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:01:10.152906 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:03:09.892430 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:05:11.549814 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:07:13.740436 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:09:37.387848 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T17:12:27.707656 | CASH: $100.02 | OPEN: $0.00 | EQUITY: $100.02 | REALIZED_PNL: $0.02 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
